snr_db,mean_accuracy,std_accuracy,mean_pred_len,mean_gt_len
-22,0.0000,0.0000,219.0,48.5
-21,0.0000,0.0000,216.6,48.5
-20,0.0000,0.0000,210.1,48.5
-19,0.0000,0.0000,209.4,48.5
-18,0.0000,0.0000,195.2,48.5
-17,0.0000,0.0000,179.8,48.5
-16,0.0000,0.0000,169.2,48.5
-15,0.0000,0.0000,150.8,48.5
-14,0.0000,0.0000,139.9,48.5
-13,0.0174,0.0413,118.2,48.5
-12,0.0539,0.1098,101.9,48.5
-11,0.2778,0.1551,79.9,48.5
-10,0.4251,0.1972,72.2,48.5
-9,0.6683,0.1473,61.8,48.5
-8,0.8297,0.0683,55.0,48.5
-7,0.9122,0.0520,51.2,48.5
-6,0.9457,0.0379,49.6,48.5
-5,0.9788,0.0083,48.2,48.5
-4,0.9828,0.0113,48.1,48.5
-3,0.9840,0.0106,48.0,48.5
-2,0.9840,0.0106,48.0,48.5
-1,0.9840,0.0106,48.0,48.5
0,0.9840,0.0106,48.0,48.5
